client_id,full_name,date_of_birth,client_type,industry,pep_status,so_funds_desc,so_wealth_doc_type,annual_income,estimated_net_worth,transaction_volume_usd,jurisdiction_risk_level,has_offshore_entities,sanction_list_hit,adverse_media,risk_score,risk_category,last_review_date,next_review_due,operating_country
C00001,Jason Daniels,1979-03-28,Individual,,No,"Civil engineer, consulting",Trust Deed,73736,9249732,27790,Low,False,True,True,37,Low,2025-04-12,2027-11-19,Netherlands
C00002,Ana Richard,1982-09-13,Individual,,No,Town planner,Trust Deed,239949,3798379,122757,Medium,False,True,True,45,Medium,2024-08-03,2027-12-13,Czech Republic
C00003,Barrera PLC Ltd.,,Corporate,Finance,No,Theme park manager,Tax Return,0,1656017,104595,High,True,False,False,63,Medium,2024-11-09,2025-08-04,Slovakia
C00004,Jesus Knox,1987-08-13,Individual,,No,"Engineer, structural",Tax Return,173709,6167228,156349,Low,True,True,True,68,Medium,2025-05-16,2026-12-29,Norway
C00005,Morris-Stevenson Ltd.,,Corporate,,Yes,Armed forces logistics/support/administrative officer,Land Title,0,7706962,171640,Medium,False,True,False,68,Medium,2025-05-03,2027-07-08,Iceland
C00006,Kathleen Johnson,1990-03-06,Individual,,No,Water engineer,Financials,109725,9061380,196136,Medium,True,True,False,29,Low,2025-07-02,2027-02-06,Malta
C00007,Howard and Sons Ltd.,,Corporate,Manufacturing,No,Horticultural consultant,Tax Return,0,3942788,13414,Low,False,False,False,61,Medium,2024-08-23,2026-07-21,Bulgaria
C00008,Sarah Eaton,1975-08-06,Individual,,Related,Marine scientist,Audit Report,281740,6737601,173519,Low,False,True,False,60,Medium,2024-10-13,2028-05-31,Hungary
C00009,Benjamin Smith,1984-07-09,Individual,,No,"Social research officer, government",Financials,229400,6173292,62493,Low,True,False,True,74,High,2025-05-03,2026-08-09,Hungary
C00010,Janet Marshall,1978-11-10,Individual,,No,English as a foreign language teacher,Financials,53306,6555324,105039,Low,False,False,True,74,High,2025-04-15,2026-12-10,Malta
C00011,The Lyons Trust,,Trust,Consulting,No,"Engineer, mining",Tax Return,0,5024115,118971,Medium,True,False,True,63,Medium,2025-07-13,2027-12-23,Ireland
C00012,The Dougherty Trust,,Trust,Investment,No,Proofreader,Trust Deed,0,8617169,164637,High,True,True,False,58,Medium,2024-09-17,2026-09-09,Latvia
C00013,The Crawford Trust,,Trust,Investment,Related,Television production assistant,Exchange Statement,0,426765,34325,High,False,False,True,61,Medium,2024-12-26,2027-02-07,Finland
C00014,Evelyn Garcia,1975-03-26,Individual,,Yes,"Designer, ceramics/pottery",Trust Deed,274798,1261193,144645,High,True,True,False,30,Low,2025-03-24,2026-03-30,Lithuania
C00015,Hendricks-Nichols Ltd.,,Corporate,Consulting,Yes,Food technologist,Financials,0,3474754,191895,Low,False,False,False,47,Medium,2025-02-23,2025-08-11,Spain
C00016,The Wright Trust,,Trust,Crypto Trading,No,"Librarian, public",Tax Return,0,9970182,150207,Low,True,True,True,63,Medium,2024-09-05,2026-10-23,United Kingdom
C00017,The Terrell Trust,,Trust,Manufacturing,No,"Restaurant manager, fast food",Land Title,0,1288789,139782,Low,True,True,False,24,Low,2025-05-15,2026-04-28,Austria
C00018,The Lawson Trust,,Trust,Real Estate,No,Transport planner,Audit Report,0,8035169,111708,Medium,True,True,True,80,High,2024-10-09,2026-03-19,Norway
C00019,"Mcmahon, Thompson and Martin Ltd.",,Corporate,Crypto Trading,No,Academic librarian,Trust Deed,55795,1751177,20889,Medium,False,False,True,26,Low,2025-03-13,2026-12-10,Portugal
C00020,Charles Knight,1960-12-19,Individual,,No,Information systems manager,Audit Report,166037,7861611,70485,Low,True,False,True,74,High,2024-10-24,2025-10-22,Croatia
C00021,The Christensen Trust,,Trust,Consulting,Yes,Broadcast presenter,Audit Report,40860,6918496,132307,High,False,True,False,50,Medium,2025-05-15,2027-10-30,Norway
C00022,Charles Boone,1993-06-08,Individual,,No,Training and development officer,Exchange Statement,169552,7196887,187607,High,False,False,True,53,Medium,2025-01-04,2026-06-19,Sweden
C00023,Norma Watson,1976-10-20,Individual,,Related,Oceanographer,Tax Return,184419,1059074,18144,Low,False,True,True,89,High,2025-04-10,2028-04-29,Lithuania
C00024,Richard Morris,2000-07-02,Individual,,No,Lexicographer,Exchange Statement,82855,9657567,69543,Low,True,False,False,50,Medium,2024-08-01,2028-01-24,Romania
C00025,Pugh-Sullivan Ltd.,,Corporate,Real Estate,No,Barrister's clerk,Exchange Statement,116820,2295773,181079,Low,False,False,False,53,Medium,2024-10-20,2025-11-06,Finland
C00026,William Miller,1986-02-16,Individual,,No,"Engineer, site",Tax Return,131754,8587336,74520,High,True,False,True,32,Low,2025-02-18,2026-02-15,Romania
C00027,Austin-Medina Ltd.,,Corporate,Finance,No,Chief Marketing Officer,Financials,94886,8974152,7050,Medium,False,True,True,58,Medium,2024-08-30,2028-05-13,Netherlands
C00028,Joshua Soto,1962-01-30,Individual,,Yes,Chief Technology Officer,Land Title,167721,3633779,193117,Medium,False,True,False,39,Low,2024-08-16,2027-04-11,Germany
C00029,Bennett-Osborne Ltd.,,Corporate,Investment,No,Software engineer,Tax Return,46265,159486,92439,Medium,True,True,True,55,Medium,2025-01-14,2026-02-27,Croatia
C00030,The Jordan Trust,,Trust,Manufacturing,No,Probation officer,Trust Deed,77194,2600715,148023,Low,True,False,True,29,Low,2025-06-02,2027-11-26,France
C00031,Charles Carey,1968-03-13,Individual,,No,Fast food restaurant manager,Land Title,130140,4286414,179832,Low,True,False,False,25,Low,2024-09-26,2027-04-17,Iceland
C00032,Vernon Cox,1960-02-25,Individual,,Yes,Geochemist,Exchange Statement,32995,3109172,198085,High,False,False,True,42,Medium,2025-07-18,2027-07-01,Czech Republic
