client_id,full_name,date_of_birth,client_type,industry,pep_status,so_funds_desc,so_wealth_doc_type,annual_income,estimated_net_worth,transaction_volume_usd,jurisdiction_risk_level,has_offshore_entities,sanction_list_hit,adverse_media,risk_score,risk_category,last_review_date,next_review_due,operating_country,total_txn_amount,max_txn_amount,txn_count,flagged_txns,adjusted_risk_score,adjusted_risk_category,reason_of_risk,triggered_risk_events,risk_evaluated_at,evaluated_by
C00001,Jason Daniels,1979-03-28,Individual,,No,"Civil engineer, consulting",Trust Deed,73736,9249732,27790,Low,False,True,True,37,Low,2025-04-12,2027-11-19,,68574.5,4608.88,74,9,40,Medium,"Identity, Media, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00002,Ana Richard,1982-09-13,Individual,,No,Town planner,Trust Deed,239949,3798379,122757,Medium,False,True,True,45,Medium,2024-08-03,2027-12-13,,537485.77,40865.62,55,5,43,Medium,"Identity, Media, Sanction, Time Risk, Transaction",Invalid Source of Wealth Doc; Sanctioned Country; Adverse Media; High total txn amount; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00003,Barrera PLC Ltd.,,Corporate,Finance,No,Theme park manager,Tax Return,0,1656017,104595,High,True,False,False,63,Medium,2024-11-09,2025-08-04,Slovakia,121017.84999999999,17502.68,39,5,15,Low,"Income Mismatch, Time Risk, Transaction",Flagged transactions exist; Txn > 5x Income; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00004,Jesus Knox,1987-08-13,Individual,,No,"Engineer, structural",Tax Return,173709,6167228,156349,Low,True,True,True,68,Medium,2025-05-16,2026-12-29,,330047.05,15634.54,85,5,35,Medium,"Media, Sanction, Time Risk, Transaction",Sanctioned Country; Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00005,Morris-Stevenson Ltd.,,Corporate,,Yes,Armed forces logistics/support/administrative officer,Land Title,0,7706962,171640,Medium,False,True,False,68,Medium,2025-05-03,2027-07-08,Iceland,144433.28,10569.6,71,9,50,High,"Income Mismatch, PEP, Sanction, Time Risk, Transaction",Sanctioned Country; PEP = Yes; Flagged transactions exist; Txn > 5x Income; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00006,Kathleen Johnson,1990-03-06,Individual,,No,Water engineer,Financials,109725,9061380,196136,Medium,True,True,False,29,Low,2025-07-02,2027-02-06,,126183.75,21544.97,33,1,30,Medium,"Sanction, Time Risk, Transaction",Sanctioned Country; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00007,Howard and Sons Ltd.,,Corporate,Manufacturing,No,Horticultural consultant,Tax Return,0,3942788,13414,Low,False,False,False,61,Medium,2024-08-23,2026-07-21,Bulgaria,184594.86,20542.05,38,3,15,Low,"Income Mismatch, Time Risk, Transaction",Flagged transactions exist; Txn > 5x Income; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00008,Sarah Eaton,1975-08-06,Individual,,Related,Marine scientist,Audit Report,281740,6737601,173519,Low,False,True,False,60,Medium,2024-10-13,2028-05-31,,552210.38,35695.47,99,11,43,Medium,"PEP, Sanction, Time Risk, Transaction",Sanctioned Country; PEP = Related; High total txn amount; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00009,Benjamin Smith,1984-07-09,Individual,,No,"Social research officer, government",Financials,229400,6173292,62493,Low,True,False,True,74,High,2025-05-03,2026-08-09,,337218.0,22020.64,77,9,15,Low,"Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
C00010,Janet Marshall,1978-11-10,Individual,,No,English as a foreign language teacher,Financials,53306,6555324,105039,Low,False,False,True,74,High,2025-04-15,2026-12-10,,115140.95,8970.02,49,10,15,Low,"Media, Time Risk, Transaction",Adverse Media; Flagged transactions exist; Many txns outside office hours,2025-07-29 00:19:19.064385,KYC_AI_Pipeline
